metric,prompt_key,prompt_folder,prompt_text,ourmethod_value,worst_value,worst_methods,best_method,best_value,gap_to_best,base,ourmethod,cads,pg,dpp,mix,apg
vendi_inception,a_dog_on_the_top_of_a_suitcase,a_dog_on_the_top_of_a_suitcase,a dog on the top of a suitcase,1.9861,1.9861,ourmethod,mix,2.1294,0.14329999999999998,2.0722,1.9861,1.9865,2.0833,2.0951,2.1294,2.0765
vendi_inception,a_blue_dog_and_a_brown_horse,a_blue_dog_and_a_brown_horse,a blue dog and a brown horse,2.2703,2.2703,ourmethod,dpp,2.3574,0.08709999999999996,2.3006,2.2703,2.2793,2.2745,2.3574,2.3534,2.3075
vendi_pixel,the_green_plant_was_on_the_right_the_white_wall,The_green_plant_was_on_the_right_the_white_wall,The green plant was on the right the white wall,1.3937,1.3937,ourmethod,dpp,1.6729,0.2792000000000001,1.4444,1.3937,1.4553,1.4177,1.6729,1.4431,1.4441
vendi_pixel,a_pink_car_and_a_red_elephant,a_pink_car_and_a_red_elephant,a pink car and a red elephant,1.3641,1.3641,ourmethod,mix,1.4591,0.09499999999999997,1.3987,1.3641,1.3996,1.3698,1.3858,1.4591,1.3988
vendi_pixel,the_wooden_spoon_was_next_to_the_green_bowl,The_wooden_spoon_was_next_to_the_green_bowl,The wooden spoon was next to the green bowl,1.6539,1.6539,ourmethod,mix,1.7297,0.07580000000000009,1.6954,1.6539,1.6977,1.6645,1.6802,1.7297,1.6949
clip_score,a_giraffe_on_the_top_of_a_man,a_giraffe_on_the_top_of_a_man,a giraffe on the top of a man,31.3979,31.3979,ourmethod,dpp,38.8415,7.4436000000000035,31.8147,31.3979,32.1636,34.4536,38.8415,32.6367,31.8466
clip_score,a_brown_dog_and_a_blue_horse,a_brown_dog_and_a_blue_horse,a brown dog and a blue horse,34.1948,34.1948,ourmethod,pg,39.7364,5.5416000000000025,39.204,34.1948,38.8562,39.7364,39.4901,38.7437,39.2429
clip_score,a_man_on_the_right_of_a_plate,a_man_on_the_right_of_a_plate,a man on the right of a plate,24.7786,24.7786,ourmethod,dpp,29.3856,4.606999999999999,27.8219,24.7786,29.1919,29.2401,29.3856,25.5259,27.8303
clip_score,a_boy_on_the_top_of_a_bag,a_boy_on_the_top_of_a_bag,a boy on the top of a bag,34.9788,34.9788,ourmethod,dpp,39.0471,4.068300000000001,37.5543,34.9788,36.0205,35.7086,39.0471,35.1221,37.5731
clip_score,a_blue_bench_and_a_green_car,a_blue_bench_and_a_green_car,a blue bench and a green car,35.9383,35.9383,ourmethod,mix,38.9118,2.9735000000000014,37.4392,35.9383,37.8875,36.603,36.9118,38.9118,37.4726
clip_score,a_bee_on_the_top_of_a_airplane,a_bee_on_the_top_of_a_airplane,a bee on the top of a airplane,35.9132,35.9132,ourmethod,mix,38.6867,2.7734999999999985,36.1926,35.9132,36.0557,36.2405,37.6301,38.6867,36.275
clip_score,a_cup_on_the_left_of_a_fish,a_cup_on_the_left_of_a_fish,a cup on the left of a fish,33.7805,33.7805,ourmethod,apg,36.5251,2.7445999999999984,36.3585,33.7805,36.3537,36.4184,35.4032,35.3885,36.5251
clip_score,the_silver_laptop_was_on_top_of_the_black_desk,The_silver_laptop_was_on_top_of_the_black_desk,The silver laptop was on top of the black desk,31.7361,31.7361,ourmethod,base,34.1001,2.363999999999997,34.1001,31.7361,33.2453,32.9723,34.0249,31.8964,33.8349
clip_score,a_red_bench_and_a_green_car,a_red_bench_and_a_green_car,a red bench and a green car,37.8901,37.8901,ourmethod,mix,39.5262,1.636100000000006,38.2234,37.8901,38.7262,38.8226,38.912,39.5262,38.4585
clip_score,the_rectangular_mirror_was_hung_above_the_blue_sink,The_rectangular_mirror_was_hung_above_the_blue_sink,The rectangular mirror was hung above the blue sink,35.267,35.267,ourmethod,dpp,36.7428,1.4757999999999996,36.7234,35.267,35.7559,35.725,36.7428,35.3475,36.7019
one_minus_ms_ssim,the_green_plant_was_on_the_right_the_white_wall,The_green_plant_was_on_the_right_the_white_wall,The green plant was on the right the white wall,0.6084,0.6084,ourmethod,dpp,0.8227,0.21429999999999993,0.6876,0.6084,0.6932,0.6806,0.8227,0.7363,0.6878
one_minus_ms_ssim,a_giraffe_on_the_top_of_a_man,a_giraffe_on_the_top_of_a_man,a giraffe on the top of a man,0.6085,0.6085,ourmethod,mix,0.7207,0.11219999999999997,0.6976,0.6085,0.6369,0.6888,0.6187,0.7207,0.6979
one_minus_ms_ssim,a_bicycle_on_the_top_of_a_chicken,a_bicycle_on_the_top_of_a_chicken,a bicycle on the top of a chicken,0.8018,0.8018,ourmethod,mix,0.9046,0.1028,0.8509,0.8018,0.8818,0.8078,0.83,0.9046,0.8512
one_minus_ms_ssim,a_bag_on_the_right_of_a_butterfly,a_bag_on_the_right_of_a_butterfly,a bag on the right of a butterfly,0.8712,0.8712,ourmethod,mix,0.9542,0.08300000000000007,0.8992,0.8712,0.8918,0.8765,0.8876,0.9542,0.8991
one_minus_ms_ssim,a_green_bench_and_a_brown_dog,a_green_bench_and_a_brown_dog,a green bench and a brown dog,0.8894,0.8894,ourmethod,mix,0.9715,0.08210000000000006,0.9173,0.8894,0.9112,0.8898,0.9142,0.9715,0.9172
one_minus_ms_ssim,the_black_chair_is_on_the_right_of_the_silver_desk,The_black_chair_is_on_the_right_of_the_silver_desk,The black chair is on the right of the silver desk,0.8496,0.8496,ourmethod,cads,0.9197,0.07009999999999994,0.8961,0.8496,0.9197,0.8583,0.8509,0.904,0.8951
one_minus_ms_ssim,a_fish_on_the_top_of_a_bowl,a_fish_on_the_top_of_a_bowl,a fish on the top of a bowl,0.9265,0.9265,ourmethod,mix,0.9764,0.049900000000000055,0.9357,0.9265,0.9317,0.9291,0.9435,0.9764,0.9357
one_minus_ms_ssim,a_microwave_on_the_bottom_of_a_rabbit,a_microwave_on_the_bottom_of_a_rabbit,a microwave on the bottom of a rabbit,0.8758,0.8758,ourmethod,apg,0.915,0.03920000000000001,0.914,0.8758,0.9143,0.8759,0.9113,0.9086,0.915
