prompt_key,prompt_folder,prompt_text,our_value,best_value,best_method,gap_to_best,vendi_pixel__base,vendi_pixel__ourmethod,vendi_pixel__cads,vendi_pixel__pg,vendi_pixel__dpp,vendi_pixel__mix,vendi_pixel__apg
a_man_on_the_right_of_a_plate,a_man_on_the_right_of_a_plate,a man on the right of a plate,1.9447,2.1359,dpp,0.19119999999999981,1.8743,1.9447,1.8848,1.7942,2.1359,2.0846,1.8741
a_cup_on_the_left_of_a_fish,a_cup_on_the_left_of_a_fish,a cup on the left of a fish,1.5598,1.7385,mix,0.17869999999999986,1.5722,1.5598,1.5741,1.4987,1.3698,1.7385,1.5722
a_bicycle_on_the_top_of_a_chicken,a_bicycle_on_the_top_of_a_chicken,a bicycle on the top of a chicken,1.3004,1.4784,dpp,0.17799999999999994,1.3418,1.3004,1.3498,1.2928,1.4784,1.4682,1.3419
a_green_bench_and_a_brown_dog,a_green_bench_and_a_brown_dog,a green bench and a brown dog,1.8001,1.9753,mix,0.17520000000000002,1.7692,1.8001,1.7702,1.713,1.7154,1.9753,1.7691
a_giraffe_on_the_right_of_a_phone,a_giraffe_on_the_right_of_a_phone,a giraffe on the right of a phone,1.6945,1.8663,dpp,0.17180000000000017,1.6635,1.6945,1.6722,1.6096,1.8663,1.7179,1.6633
a_sheep_near_a_car,a_sheep_near_a_car,a sheep near a car,1.835,1.9967,dpp,0.16169999999999995,1.7017,1.835,1.7133,1.6293,1.9967,1.894,1.702
a_giraffe_on_the_left_of_a_lamp,a_giraffe_on_the_left_of_a_lamp,a giraffe on the left of a lamp,1.6536,1.8124,dpp,0.15880000000000005,1.6389,1.6536,1.6491,1.5896,1.8124,1.5567,1.6381
a_brown_bench_and_a_green_dog,a_brown_bench_and_a_green_dog,a brown bench and a green dog,1.6641,1.8198,mix,0.15570000000000017,1.5955,1.6641,1.592,1.5472,1.6673,1.8198,1.5978
a_television_on_the_right_of_a_cow,a_television_on_the_right_of_a_cow,a television on the right of a cow,2.401,2.5495,mix,0.1485000000000003,2.2881,2.401,2.3257,2.2016,2.3981,2.5495,2.2904
a_bowl_on_the_right_of_a_chicken,a_bowl_on_the_right_of_a_chicken,a bowl on the right of a chicken,1.6505,1.7981,mix,0.14759999999999995,1.6965,1.6505,1.7027,1.6392,1.7133,1.7981,1.6964
a_computer_on_the_bottom_of_a_horse,a_computer_on_the_bottom_of_a_horse,a computer on the bottom of a horse,2.0631,2.2006,mix,0.13750000000000018,2.0834,2.0631,2.0908,1.9883,2.059,2.2006,2.0824
a_brown_car_and_a_red_elephant,a_brown_car_and_a_red_elephant,a brown car and a red elephant,1.5801,1.7138,dpp,0.13369999999999993,1.5546,1.5801,1.5649,1.5032,1.7138,1.6785,1.5544
a_green_bench_and_a_red_car,a_green_bench_and_a_red_car,a green bench and a red car,2.1479,2.2806,mix,0.13270000000000026,2.1532,2.1479,2.1654,2.0539,1.9498,2.2806,2.1537
a_green_bench_and_a_blue_car,a_green_bench_and_a_blue_car,a green bench and a blue car,1.9245,2.0557,mix,0.13119999999999976,1.8933,1.9245,1.9101,1.8367,1.835,2.0557,1.8939
